name,company,for_gender,rating,number_votes,main accords,top notes,middle notes,base notes,longevity,sillage,gender_vote,price value
Safranor,L.T. Piver,for women and men,4.0,1.0,"{'warm spicy': 100.0, 'leather': 48.0645}",[],"['Saffron', 'Spicy Notes']",[],"{'very weak': 0, 'weak': 0, 'moderate': 0, 'long lasting': 0, 'eternal': 0}","{'intimate': 0, 'moderate': 0, 'strong': 1, 'enormous': 1}","{'female': 0, 'more female': 0, 'unisex': 0, 'more male': 0, 'male': 0}","{'way overpriced': 0, 'overpriced': 0, 'ok': 0, 'good value': 0, 'great value': 0}"
Mimeomai (Vintage Edition),Volnay,for women,,,{},[],[],[],"{'very weak': 0, 'weak': 0, 'moderate': 0, 'long lasting': 0, 'eternal': 0}","{'intimate': 0, 'moderate': 1, 'strong': 0, 'enormous': 1}","{'female': 0, 'more female': 0, 'unisex': 0, 'more male': 0, 'male': 0}","{'way overpriced': 0, 'overpriced': 0, 'ok': 0, 'good value': 0, 'great value': 0}"
Civa,Mury Paris,for women,,,{},[],[],[],"{'very weak': 0, 'weak': 0, 'moderate': 0, 'long lasting': 0, 'eternal': 0}","{'intimate': 0, 'moderate': 0, 'strong': 0, 'enormous': 0}","{'female': 0, 'more female': 0, 'unisex': 0, 'more male': 0, 'male': 0}","{'way overpriced': 0, 'overpriced': 0, 'ok': 0, 'good value': 0, 'great value': 0}"
Volt,L.T. Piver,for women,,,{},[],[],[],"{'very weak': 0, 'weak': 0, 'moderate': 0, 'long lasting': 0, 'eternal': 0}","{'intimate': 0, 'moderate': 0, 'strong': 0, 'enormous': 0}","{'female': 0, 'more female': 0, 'unisex': 0, 'more male': 0, 'male': 0}","{'way overpriced': 0, 'overpriced': 0, 'ok': 0, 'good value': 0, 'great value': 0}"
Vivitz,L.T. Piver,for women,,,{},[],[],[],"{'very weak': 0, 'weak': 0, 'moderate': 0, 'long lasting': 0, 'eternal': 1}","{'intimate': 0, 'moderate': 0, 'strong': 0, 'enormous': 0}","{'female': 0, 'more female': 0, 'unisex': 0, 'more male': 0, 'male': 0}","{'way overpriced': 0, 'overpriced': 0, 'ok': 0, 'good value': 0, 'great value': 0}"
Aventurine,L.T. Piver,for women and men,,,{},[],[],[],"{'very weak': 0, 'weak': 0, 'moderate': 0, 'long lasting': 0, 'eternal': 0}","{'intimate': 0, 'moderate': 0, 'strong': 0, 'enormous': 0}","{'female': 0, 'more female': 0, 'unisex': 0, 'more male': 0, 'male': 0}","{'way overpriced': 0, 'overpriced': 0, 'ok': 0, 'good value': 0, 'great value': 0}"
Bain de Champagne (Royal Bain de Caron),Caron,for women and men,4.04,584.0,"{'amber': 100.0, 'vanilla': 61.8833, 'balsamic': 61.1664, 'floral': 55.2978, 'woody': 52.8857, 'powdery': 50.4612, 'warm spicy': 50.3162, 'sweet': 49.8934, 'rose': 49.3961}","['Lilac', 'Rose']","['Opoponax', 'Benzoin', 'Incense']","['Vanilla', 'Amber', 'Sandalwood', 'Musk', 'Cedar']","{'very weak': 10, 'weak': 20, 'moderate': 49, 'long lasting': 39, 'eternal': 29}","{'intimate': 41, 'moderate': 84, 'strong': 49, 'enormous': 55}","{'female': 6, 'more female': 5, 'unisex': 1, 'more male': 1, 'male': 0}","{'way overpriced': 0, 'overpriced': 0, 'ok': 4, 'good value': 3, 'great value': 2}"
Felce Azzurra,Paglieri,for women,4.48,66.0,"{'musky': 100.0, 'powdery': 65.0}",[],['Musk'],[],"{'very weak': 1, 'weak': 5, 'moderate': 7, 'long lasting': 7, 'eternal': 6}","{'intimate': 2, 'moderate': 18, 'strong': 9, 'enormous': 9}","{'female': 0, 'more female': 1, 'unisex': 3, 'more male': 0, 'male': 0}","{'way overpriced': 0, 'overpriced': 0, 'ok': 1, 'good value': 2, 'great value': 1}"
Narcisse Blanc,Caron,for women,3.94,70.0,"{'white floral': 100.0, 'citrus': 92.5386, 'woody': 65.4418, 'powdery': 64.7545, 'iris': 52.5806, 'aromatic': 52.5316, 'musky': 51.5989, 'sweet': 48.8499, 'earthy': 48.4572, 'floral': 46.1991}","['Orange Blossom', 'Neroli', 'Orange', 'Petitgrain']","['Jasmine', 'tincture of rose', 'Lime']","['iris', 'Musk', 'Sandalwood', 'vetyver', 'Amber']","{'very weak': 0, 'weak': 1, 'moderate': 5, 'long lasting': 7, 'eternal': 2}","{'intimate': 6, 'moderate': 10, 'strong': 5, 'enormous': 2}","{'female': 0, 'more female': 0, 'unisex': 0, 'more male': 0, 'male': 0}","{'way overpriced': 0, 'overpriced': 0, 'ok': 0, 'good value': 0, 'great value': 0}"
Narcisse Blanc Parfum,Caron,for women,4.3,20.0,"{'citrus': 100.0, 'white floral': 85.8358, 'powdery': 68.3187, 'iris': 60.1075, 'woody': 54.8524, 'musky': 51.8964, 'rose': 49.7068, 'sweet': 47.654, 'floral': 47.1065, 'amber': 46.4223}","['Neroli', 'Orange Blossom', 'Orange', 'Petitgrain']","['Jasmine', 'Rose', 'Lime']","['iris', 'Musk', 'Amber', 'Sandalwood']","{'very weak': 0, 'weak': 0, 'moderate': 2, 'long lasting': 2, 'eternal': 0}","{'intimate': 2, 'moderate': 3, 'strong': 0, 'enormous': 6}","{'female': 0, 'more female': 0, 'unisex': 0, 'more male': 0, 'male': 0}","{'way overpriced': 0, 'overpriced': 0, 'ok': 0, 'good value': 0, 'great value': 0}"
Paris,Coty,for women,4.29,24.0,"{'floral': 100.0, 'powdery': 72.3437, 'musky': 68.4375, 'vanilla': 61.5625, 'fresh': 55.3125, 'rose': 52.8125, 'green': 51.5625, 'animalic': 50.3125, 'aldehydic': 48.75, 'yellow floral': 47.1875}",[],"['Lilac', 'Heliotrope', 'Civet', 'Aldehydes', 'Hyacinth', 'Musk', 'Ylang-Ylang', 'Bulgarian Rose', 'Carnation', 'Vanilla']",[],"{'very weak': 1, 'weak': 0, 'moderate': 1, 'long lasting': 2, 'eternal': 1}","{'intimate': 0, 'moderate': 5, 'strong': 4, 'enormous': 5}","{'female': 0, 'more female': 0, 'unisex': 0, 'more male': 0, 'male': 0}","{'way overpriced': 0, 'overpriced': 0, 'ok': 0, 'good value': 0, 'great value': 0}"
Le Jade,Roger & Gallet,for women,4.5,2.0,"{'citrus': 100.0, 'woody': 77.25, 'aromatic': 63.25, 'musky': 63.25, 'amber': 59.75, 'animalic': 57.125, 'fresh spicy': 52.75, 'powdery': 52.75, 'warm spicy': 49.25, 'earthy': 47.5}",[],"['Lime', 'Bergamot', 'Ambergris', 'Civet', 'Sandalwood', 'Vetiver', 'Tonka Bean', 'Musk', 'Patchouli', 'Vanilla']",[],"{'very weak': 0, 'weak': 0, 'moderate': 0, 'long lasting': 0, 'eternal': 0}","{'intimate': 0, 'moderate': 0, 'strong': 1, 'enormous': 0}","{'female': 0, 'more female': 0, 'unisex': 0, 'more male': 0, 'male': 0}","{'way overpriced': 0, 'overpriced': 0, 'ok': 0, 'good value': 0, 'great value': 0}"
Le Chick Chick,Vigny,for women,4.0,1.0,{},[],[],[],"{'very weak': 0, 'weak': 0, 'moderate': 0, 'long lasting': 0, 'eternal': 1}","{'intimate': 0, 'moderate': 0, 'strong': 0, 'enormous': 2}","{'female': 0, 'more female': 0, 'unisex': 0, 'more male': 0, 'male': 0}","{'way overpriced': 0, 'overpriced': 0, 'ok': 0, 'good value': 0, 'great value': 0}"
Violetera,Mury Paris,for women,,,{},[],[],[],"{'very weak': 0, 'weak': 0, 'moderate': 0, 'long lasting': 0, 'eternal': 0}","{'intimate': 0, 'moderate': 0, 'strong': 0, 'enormous': 0}","{'female': 0, 'more female': 0, 'unisex': 0, 'more male': 0, 'male': 0}","{'way overpriced': 0, 'overpriced': 0, 'ok': 0, 'good value': 0, 'great value': 0}"
Le Jardin de Ma Soeur,Mury Paris,for women and men,,,{},[],[],[],"{'very weak': 0, 'weak': 0, 'moderate': 0, 'long lasting': 0, 'eternal': 0}","{'intimate': 0, 'moderate': 0, 'strong': 0, 'enormous': 0}","{'female': 0, 'more female': 0, 'unisex': 0, 'more male': 0, 'male': 0}","{'way overpriced': 0, 'overpriced': 0, 'ok': 0, 'good value': 0, 'great value': 0}"
Le Beau Soir,Mury Paris,for women and men,,,{},[],[],[],"{'very weak': 0, 'weak': 0, 'moderate': 0, 'long lasting': 0, 'eternal': 0}","{'intimate': 0, 'moderate': 0, 'strong': 0, 'enormous': 0}","{'female': 0, 'more female': 0, 'unisex': 0, 'more male': 0, 'male': 0}","{'way overpriced': 0, 'overpriced': 0, 'ok': 0, 'good value': 0, 'great value': 0}"
Ptah,Parfums Ciro,for women,,,{},[],[],[],"{'very weak': 1, 'weak': 1, 'moderate': 0, 'long lasting': 0, 'eternal': 1}","{'intimate': 0, 'moderate': 1, 'strong': 1, 'enormous': 1}","{'female': 0, 'more female': 0, 'unisex': 0, 'more male': 0, 'male': 0}","{'way overpriced': 0, 'overpriced': 0, 'ok': 0, 'good value': 0, 'great value': 0}"
Valée des Rois,L.T. Piver,for women,,,{},[],[],[],"{'very weak': 0, 'weak': 0, 'moderate': 0, 'long lasting': 0, 'eternal': 0}","{'intimate': 0, 'moderate': 0, 'strong': 0, 'enormous': 0}","{'female': 0, 'more female': 0, 'unisex': 0, 'more male': 0, 'male': 0}","{'way overpriced': 0, 'overpriced': 0, 'ok': 0, 'good value': 0, 'great value': 0}"
Misti,L.T. Piver,for women,,,{},[],[],[],"{'very weak': 0, 'weak': 0, 'moderate': 0, 'long lasting': 0, 'eternal': 1}","{'intimate': 0, 'moderate': 1, 'strong': 0, 'enormous': 0}","{'female': 0, 'more female': 0, 'unisex': 0, 'more male': 0, 'male': 0}","{'way overpriced': 0, 'overpriced': 0, 'ok': 0, 'good value': 0, 'great value': 0}"
Flo,Lesquendieu,for women and men,,,{},[],[],[],"{'very weak': 0, 'weak': 0, 'moderate': 0, 'long lasting': 0, 'eternal': 0}","{'intimate': 0, 'moderate': 0, 'strong': 0, 'enormous': 0}","{'female': 0, 'more female': 0, 'unisex': 0, 'more male': 0, 'male': 0}","{'way overpriced': 0, 'overpriced': 0, 'ok': 0, 'good value': 0, 'great value': 0}"
Les Exclusifs de Chanel Cuir de Russie 1924,Chanel,for women,4.25,990.0,"{'leather': 100.0, 'woody': 72.65090000000001, 'aromatic': 64.079, 'smoky': 62.2614, 'powdery': 61.4079, 'citrus': 59.4368, 'animalic': 59.0316, 'floral': 56.3175, 'white floral': 55.2983, 'sweet': 53.8492}","['Clary Sage', 'Orange Blossom', 'Bergamot', 'Lemon', 'Mandarin Orange']","['iris', 'Ylang-Ylang', 'Vetiver', 'Carnation', 'Jasmine', 'Rose', 'Cedar']","['Leather', 'Birch', 'Tobacco', 'Musk', 'Amber', 'Heliotrope', 'Vanilla']","{'very weak': 25, 'weak': 21, 'moderate': 85, 'long lasting': 47, 'eternal': 26}","{'intimate': 64, 'moderate': 101, 'strong': 58, 'enormous': 44}","{'female': 0, 'more female': 0, 'unisex': 4, 'more male': 1, 'male': 0}","{'way overpriced': 0, 'overpriced': 0, 'ok': 2, 'good value': 0, 'great value': 0}"
