name,company,for_gender,rating,number_votes,main accords,top notes,middle notes,base notes,longevity,sillage,gender_vote,price value
Baccarat Rouge 540 Extrait de Parfum,Maison Francis Kurkdjian,for women and men,4.28,2370.0,"{'amber': 100.0, 'almond': 97.7462, 'woody': 86.6099, 'warm spicy': 80.0341, 'animalic': 78.3172, 'nutty': 70.6477, 'fruity': 63.8731, 'musky': 61.8182, 'white floral': 60.8902, 'sweet': 56.893}","['Bitter Almond', 'Saffron']","['Egyptian Jasmine', 'Cedar']","['Ambergris', 'Musk', 'Woody Notes']","{'very weak': 63, 'weak': 52, 'moderate': 116, 'long lasting': 257, 'eternal': 594}","{'intimate': 147, 'moderate': 314, 'strong': 537, 'enormous': 523}","{'female': 81, 'more female': 84, 'unisex': 192, 'more male': 15, 'male': 8}","{'way overpriced': 181, 'overpriced': 93, 'ok': 60, 'good value': 20, 'great value': 16}"
Aura Mugler,Mugler,for women,3.63,5716.0,"{'green': 100.0, 'woody': 83.7937, 'vanilla': 79.2484, 'sweet': 73.8537, 'fruity': 63.2581, 'aromatic': 59.9731, 'white floral': 58.7402, 'citrus': 52.5367, 'powdery': 48.7833}","['Rhubarb Leaf', 'Bergamot']","['Green Notes', 'Orange Blossom', 'Ylang-Ylang', 'Pear']","['Bourbon Vanilla', 'Woody Notes', 'Amberwood', 'Sandalwood', 'Coumarin']","{'very weak': 90, 'weak': 122, 'moderate': 446, 'long lasting': 742, 'eternal': 385}","{'intimate': 294, 'moderate': 798, 'strong': 811, 'enormous': 575}","{'female': 162, 'more female': 102, 'unisex': 88, 'more male': 7, 'male': 1}","{'way overpriced': 7, 'overpriced': 44, 'ok': 175, 'good value': 58, 'great value': 10}"
Black Phantom,By Kilian,for women and men,4.27,2146.0,"{'sweet': 100.0, 'warm spicy': 92.2229, 'caramel': 71.3151, 'coffee': 68.8129, 'chocolate': 66.5435, 'rum': 64.309, 'woody': 61.6613, 'almond': 59.4734, 'powdery': 46.9857, 'vanilla': 46.5319}",[],"['Dark Chocolate', 'Rum', 'Caramel', 'Coffee', 'Sugar Cane', 'Almond', 'Sandalwood', 'Heliotrope']",[],"{'very weak': 68, 'weak': 70, 'moderate': 191, 'long lasting': 316, 'eternal': 422}","{'intimate': 162, 'moderate': 447, 'strong': 388, 'enormous': 547}","{'female': 14, 'more female': 21, 'unisex': 167, 'more male': 95, 'male': 38}","{'way overpriced': 69, 'overpriced': 93, 'ok': 75, 'good value': 46, 'great value': 6}"
Girl of Now,Elie Saab,for women,4.01,2624.0,"{'almond': 100.0, 'sweet': 91.6913, 'nutty': 90.7965, 'fruity': 85.8935, 'woody': 79.3774, 'citrus': 63.1252, 'amber': 60.453, 'vanilla': 58.7609, 'floral': 56.0522, 'white floral': 55.8087}","['Pistachio', 'Pear', 'Mandarin Orange']","['Almond', 'Orange Blossom', 'Magnolia']","['Almond Milk', 'Tonka Bean', 'Cashmeran', 'Patchouli']","{'very weak': 58, 'weak': 95, 'moderate': 273, 'long lasting': 441, 'eternal': 156}","{'intimate': 151, 'moderate': 517, 'strong': 509, 'enormous': 357}","{'female': 216, 'more female': 16, 'unisex': 6, 'more male': 1, 'male': 0}","{'way overpriced': 6, 'overpriced': 34, 'ok': 96, 'good value': 80, 'great value': 12}"
Light Blue Eau Intense Pour Homme,Dolce&Gabbana,for men,4.17,2083.0,"{'aromatic': 100.0, 'citrus': 97.2181, 'marine': 86.803, 'fresh spicy': 64.6437, 'woody': 60.5188, 'salty': 52.7212, 'amber': 47.5411, 'musky': 47.3355, 'aquatic': 47.0409}","['Grapefruit', 'Mandarin Orange']","['Sea water', 'Juniper']","['Amberwood', 'Musk']","{'very weak': 76, 'weak': 92, 'moderate': 316, 'long lasting': 676, 'eternal': 107}","{'intimate': 169, 'moderate': 571, 'strong': 532, 'enormous': 217}","{'female': 2, 'more female': 1, 'unisex': 18, 'more male': 90, 'male': 147}","{'way overpriced': 6, 'overpriced': 37, 'ok': 120, 'good value': 65, 'great value': 12}"
Scandal,Jean Paul Gaultier,for women,3.78,3088.0,"{'honey': 100.0, 'sweet': 78.1837, 'white floral': 68.5579, 'citrus': 60.0998, 'patchouli': 53.7305, 'caramel': 52.2581, 'animalic': 52.1091, 'beeswax': 50.8747, 'floral': 48.2688, 'woody': 46.8477}","['Blood Orange', 'Mandarin Orange']","['Honey', 'Gardenia', 'Orange Blossom', 'Jasmine', 'Peach']","['Beeswax', 'Patchouli', 'Caramel', 'Licorice']","{'very weak': 39, 'weak': 79, 'moderate': 228, 'long lasting': 459, 'eternal': 356}","{'intimate': 138, 'moderate': 455, 'strong': 598, 'enormous': 436}","{'female': 217, 'more female': 24, 'unisex': 3, 'more male': 2, 'male': 0}","{'way overpriced': 10, 'overpriced': 35, 'ok': 121, 'good value': 38, 'great value': 3}"
Fucking Fabulous,Tom Ford,for women and men,3.74,2372.0,"{'aromatic': 100.0, 'vanilla': 91.4561, 'leather': 91.1555, 'almond': 87.84, 'amber': 79.0319, 'sweet': 78.1028, 'woody': 72.8107, 'lavender': 70.8979, 'powdery': 70.6884, 'nutty': 64.704}","['Clary Sage', 'Lavender']","['Bitter Almond', 'Leather', 'Vanilla', 'Orris']","['Leather', 'Tonka Bean', 'Cashmeran', 'White Woods', 'Amber']","{'very weak': 143, 'weak': 94, 'moderate': 244, 'long lasting': 351, 'eternal': 145}","{'intimate': 260, 'moderate': 470, 'strong': 418, 'enormous': 327}","{'female': 6, 'more female': 13, 'unisex': 161, 'more male': 74, 'male': 23}","{'way overpriced': 122, 'overpriced': 77, 'ok': 29, 'good value': 13, 'great value': 6}"
Gucci Guilty Absolute,Gucci,for men,4.01,2893.0,"{'woody': 100.0, 'leather': 79.299, 'aromatic': 58.6796, 'animalic': 54.6495, 'earthy': 49.2421, 'patchouli': 47.2678, 'smoky': 44.7897}",['Leather'],"['Cypress', 'Patchouli']","['Woody Notes', 'Vetiver']","{'very weak': 83, 'weak': 86, 'moderate': 351, 'long lasting': 597, 'eternal': 332}","{'intimate': 176, 'moderate': 651, 'strong': 595, 'enormous': 321}","{'female': 1, 'more female': 0, 'unisex': 47, 'more male': 38, 'male': 289}","{'way overpriced': 13, 'overpriced': 19, 'ok': 126, 'good value': 109, 'great value': 85}"
Gucci Bloom,Gucci,for women,3.77,3783.0,"{'white floral': 100.0, 'tuberose': 62.2714}",['Jasmine'],['Tuberose'],['Rangoon creeper'],"{'very weak': 98, 'weak': 103, 'moderate': 418, 'long lasting': 378, 'eternal': 140}","{'intimate': 207, 'moderate': 655, 'strong': 428, 'enormous': 322}","{'female': 161, 'more female': 23, 'unisex': 14, 'more male': 0, 'male': 1}","{'way overpriced': 18, 'overpriced': 31, 'ok': 96, 'good value': 14, 'great value': 9}"
Luna Rossa Carbon,Prada,for men,4.27,1929.0,"{'fresh spicy': 100.0, 'amber': 96.799, 'lavender': 90.686, 'aromatic': 82.4611, 'mineral': 78.4154, 'metallic': 75.6812, 'citrus': 74.014, 'musky': 70.0794, 'woody': 59.0759, 'earthy': 56.4529}","['Bergamot', 'Pepper']","['Lavender', 'Metallic notes', 'Coal', 'Watery Notes', 'Soil tincture']","['Ambroxan', 'Patchouli']","{'very weak': 64, 'weak': 81, 'moderate': 327, 'long lasting': 521, 'eternal': 98}","{'intimate': 171, 'moderate': 663, 'strong': 327, 'enormous': 207}","{'female': 1, 'more female': 0, 'unisex': 11, 'more male': 41, 'male': 182}","{'way overpriced': 5, 'overpriced': 11, 'ok': 91, 'good value': 106, 'great value': 8}"
Light Blue Eau Intense,Dolce&Gabbana,for women,4.17,1932.0,"{'citrus': 100.0, 'musky': 76.0369, 'fresh': 70.0909, 'fruity': 68.6591, 'aromatic': 65.1988, 'amber': 54.8579, 'powdery': 53.0185, 'woody': 49.8864, 'green': 49.3295, 'white floral': 49.2898}","['Lemon', 'Granny Smith apple']","['Marigold', 'Jasmine']","['Musk', 'Amberwood']","{'very weak': 58, 'weak': 78, 'moderate': 303, 'long lasting': 293, 'eternal': 78}","{'intimate': 157, 'moderate': 446, 'strong': 266, 'enormous': 199}","{'female': 57, 'more female': 36, 'unisex': 74, 'more male': 7, 'male': 1}","{'way overpriced': 6, 'overpriced': 17, 'ok': 77, 'good value': 35, 'great value': 9}"
Emporio Armani Stronger With You,Giorgio Armani,for men,4.01,2359.0,"{'warm spicy': 100.0, 'vanilla': 89.2723, 'aromatic': 78.4256, 'sweet': 69.8005, 'woody': 69.3085, 'soft spicy': 61.0525, 'fruity': 57.0415, 'amber': 56.5971, 'ozonic': 54.9427, 'balsamic': 53.0821}","['Cardamom', 'Pink Pepper', 'Mint', 'Violet Leaf']","['Pineapple', 'Sage', 'Melon', 'Cinnamon', 'Lavender']","['Vanilla', 'Chestnut', 'Cedar', 'Amberwood', 'Guaiac Wood']","{'very weak': 64, 'weak': 65, 'moderate': 210, 'long lasting': 671, 'eternal': 167}","{'intimate': 108, 'moderate': 441, 'strong': 665, 'enormous': 247}","{'female': 3, 'more female': 4, 'unisex': 36, 'more male': 114, 'male': 90}","{'way overpriced': 4, 'overpriced': 30, 'ok': 111, 'good value': 64, 'great value': 11}"
Artisan Pure,John Varvatos,for men,4.28,1562.0,"{'citrus': 100.0, 'aromatic': 59.4755, 'fresh spicy': 51.7128, 'herbal': 47.0864}","['Clementine', 'Mandarin Orange', 'Lemon', 'Bergamot', 'Thyme', 'Marjoram']","['Petitgrain', 'Ginger']","['Woody Notes', 'Musk', 'Orris Root', 'Amber']","{'very weak': 76, 'weak': 153, 'moderate': 417, 'long lasting': 158, 'eternal': 39}","{'intimate': 210, 'moderate': 529, 'strong': 169, 'enormous': 117}","{'female': 1, 'more female': 1, 'unisex': 41, 'more male': 92, 'male': 55}","{'way overpriced': 0, 'overpriced': 11, 'ok': 49, 'good value': 92, 'great value': 20}"
Prada L'Homme Intense,Prada,for men,4.44,1449.0,"{'iris': 100.0, 'amber': 87.0031, 'powdery': 86.5069, 'woody': 79.2913, 'leather': 72.7119, 'earthy': 68.8721, 'violet': 65.0, 'vanilla': 62.9939, 'warm spicy': 60.6102, 'animalic': 58.0431}",['iris'],"['Amber', 'Patchouli']","['Tonka Bean', 'Leather', 'Sandalwood']","{'very weak': 39, 'weak': 50, 'moderate': 160, 'long lasting': 419, 'eternal': 168}","{'intimate': 102, 'moderate': 474, 'strong': 295, 'enormous': 207}","{'female': 3, 'more female': 0, 'unisex': 36, 'more male': 75, 'male': 84}","{'way overpriced': 7, 'overpriced': 24, 'ok': 92, 'good value': 42, 'great value': 5}"
Black Perfecto by La Petite Robe Noire,Guerlain,for women,3.95,2271.0,"{'sweet': 100.0, 'cherry': 84.4442, 'almond': 81.6638, 'nutty': 75.1538, 'leather': 68.8472, 'rose': 61.5815, 'fruity': 61.2763, 'soft spicy': 57.6386, 'animalic': 51.3999, 'patchouli': 46.807900000000004}","['Sour Cherry', 'Almond', 'Black Tea']","['Rose', 'Licorice']","['Leather', 'Tonka Bean', 'Patchouli', 'Black Musk']","{'very weak': 50, 'weak': 87, 'moderate': 267, 'long lasting': 294, 'eternal': 104}","{'intimate': 182, 'moderate': 471, 'strong': 356, 'enormous': 236}","{'female': 85, 'more female': 61, 'unisex': 38, 'more male': 0, 'male': 0}","{'way overpriced': 2, 'overpriced': 11, 'ok': 73, 'good value': 56, 'great value': 13}"
Sì Passione,Giorgio Armani,for women,3.75,2306.0,"{'fruity': 100.0, 'sweet': 71.7321, 'woody': 55.9421, 'rose': 54.7169, 'vanilla': 54.016, 'soft spicy': 53.5046, 'floral': 48.6246, 'fresh': 47.2359, 'powdery': 45.4552, 'citrus': 44.8192}","['Pear', 'Black Currant', 'Pink Pepper', 'Grapefruit']","['Rose', 'Pineapple', 'Heliotrope', 'Jasmine']","['Vanilla', 'Cedar', 'Patchouli', 'Amberwood']","{'very weak': 101, 'weak': 145, 'moderate': 307, 'long lasting': 133, 'eternal': 53}","{'intimate': 256, 'moderate': 414, 'strong': 204, 'enormous': 200}","{'female': 137, 'more female': 13, 'unisex': 4, 'more male': 0, 'male': 0}","{'way overpriced': 17, 'overpriced': 31, 'ok': 77, 'good value': 9, 'great value': 2}"
Twilly d’Hermès,Hermès,for women,3.67,3445.0,"{'white floral': 100.0, 'warm spicy': 90.0373, 'citrus': 80.7654, 'tuberose': 77.7796, 'woody': 64.4761, 'fresh': 53.0225, 'powdery': 51.6409, 'animalic': 48.5707, 'vanilla': 44.3531}","['Ginger', 'Bitter Orange', 'Bergamot']","['Tuberose', 'Orange Blossom', 'Jasmine']","['Sandalwood', 'Vanilla']","{'very weak': 64, 'weak': 89, 'moderate': 333, 'long lasting': 335, 'eternal': 147}","{'intimate': 199, 'moderate': 604, 'strong': 332, 'enormous': 250}","{'female': 84, 'more female': 37, 'unisex': 33, 'more male': 1, 'male': 1}","{'way overpriced': 3, 'overpriced': 23, 'ok': 68, 'good value': 20, 'great value': 5}"
Fleur Musc for Her,Narciso Rodriguez,for women,3.99,2712.0,"{'rose': 100.0, 'floral': 91.2429, 'musky': 80.3218, 'fresh': 67.3538, 'powdery': 62.8662, 'soft spicy': 45.8225, 'patchouli': 44.7364}",['Pink Pepper'],"['Rose', 'Musk', 'Peony']","['Patchouli', 'Violet', 'Amber']","{'very weak': 82, 'weak': 101, 'moderate': 309, 'long lasting': 275, 'eternal': 115}","{'intimate': 187, 'moderate': 489, 'strong': 331, 'enormous': 260}","{'female': 124, 'more female': 19, 'unisex': 6, 'more male': 1, 'male': 0}","{'way overpriced': 3, 'overpriced': 23, 'ok': 70, 'good value': 31, 'great value': 5}"
Gabrielle,Chanel,for women,3.58,4859.0,"{'white floral': 100.0, 'citrus': 96.3728, 'woody': 59.5493, 'sweet': 55.9998, 'fruity': 53.6549, 'yellow floral': 51.4107, 'musky': 49.832, 'powdery': 48.568, 'tuberose': 47.5929, 'animalic': 45.9084}","['Grapefruit', 'Mandarin Orange', 'Black Currant']","['Orange Blossom', 'Jasmine', 'Ylang-Ylang', 'Tuberose', 'Lily-of-the-Valley', 'Pear', 'Pink Pepper']","['Musk', 'Sandalwood', 'Cashmeran', 'Orris']","{'very weak': 216, 'weak': 246, 'moderate': 515, 'long lasting': 337, 'eternal': 168}","{'intimate': 535, 'moderate': 712, 'strong': 384, 'enormous': 389}","{'female': 120, 'more female': 26, 'unisex': 8, 'more male': 0, 'male': 0}","{'way overpriced': 30, 'overpriced': 42, 'ok': 52, 'good value': 9, 'great value': 0}"
Elysium Pour Homme Parfum Cologne,Roja Dove,for men,4.33,1048.0,"{'citrus': 100.0, 'aromatic': 94.1484, 'woody': 76.7285, 'fresh spicy': 65.3083, 'amber': 56.9006, 'green': 52.6469, 'fruity': 52.3265, 'earthy': 49.1831, 'animalic': 45.4552}","['Grapefruit', 'Lemon', 'Bergamot', 'Lime', 'Thyme', 'Artemisia', 'Galbanum']","['Vetiver', 'Juniper Berries', 'Black Currant', 'Apple', 'Cedar', 'Pink Pepper', 'Rose', 'Jasmine', 'Cypriol Oil or Nagarmotha', 'Lily-of-the-Valley']","['Ambergris', 'Vanilla', 'Benzoin', 'Leather', 'Labdanum']","{'very weak': 62, 'weak': 100, 'moderate': 238, 'long lasting': 166, 'eternal': 70}","{'intimate': 168, 'moderate': 355, 'strong': 181, 'enormous': 157}","{'female': 1, 'more female': 1, 'unisex': 17, 'more male': 67, 'male': 77}","{'way overpriced': 89, 'overpriced': 46, 'ok': 25, 'good value': 3, 'great value': 7}"
Versace Pour Femme Dylan Blue,Versace,for women,3.6,1951.0,"{'fruity': 100.0, 'floral': 85.8998, 'green': 70.2284, 'rose': 66.363, 'fresh': 63.9922, 'woody': 46.9081, 'sweet': 46.7259}","['Granny Smith apple', 'Black Currant', 'Clover', 'Forget me not', 'Shiso']","['Peach', 'Rose Hip', 'Petalia', 'Rose', 'Jasmine']","['Musk', 'White Woods', 'Styrax', 'Patchouli']","{'very weak': 54, 'weak': 115, 'moderate': 245, 'long lasting': 121, 'eternal': 81}","{'intimate': 205, 'moderate': 324, 'strong': 210, 'enormous': 201}","{'female': 97, 'more female': 29, 'unisex': 17, 'more male': 2, 'male': 0}","{'way overpriced': 7, 'overpriced': 38, 'ok': 57, 'good value': 21, 'great value': 1}"
Miss Dior Eau de Parfum (2017),Christian Dior,for women,3.9,1902.0,"{'citrus': 100.0, 'rose': 67.3695, 'woody': 66.5972, 'patchouli': 56.4446, 'sweet': 51.7007, 'warm spicy': 48.1984, 'soft spicy': 44.8842, 'floral': 44.2952, 'balsamic': 44.1535}","['Pink Pepper', 'Blood Orange', 'Sweet Orange', 'Mandarin Orange', 'Calabrian bergamot', 'Lemon']","['Grasse Rose', 'Damask Rose', 'Jasmine Leaf']","['Patchouli', 'Palisander Rosewood']","{'very weak': 49, 'weak': 54, 'moderate': 180, 'long lasting': 258, 'eternal': 108}","{'intimate': 111, 'moderate': 360, 'strong': 247, 'enormous': 202}","{'female': 118, 'more female': 8, 'unisex': 8, 'more male': 0, 'male': 1}","{'way overpriced': 11, 'overpriced': 34, 'ok': 62, 'good value': 6, 'great value': 5}"
Psychedelic Love,Initio Parfums Prives,for women and men,4.47,774.0,"{'powdery': 100.0, 'woody': 89.3211, 'floral': 82.5358, 'amber': 74.8344, 'vanilla': 71.8855, 'yellow floral': 70.3681, 'warm spicy': 66.7607, 'sweet': 65.1288, 'almond': 59.9182, 'balsamic': 55.8527}","['Ylang-Ylang', 'Bergamot']","['Heliotrope', 'Hedione', 'Bulgarian Rose']","['Myrrh', 'Sandalwood']","{'very weak': 27, 'weak': 27, 'moderate': 38, 'long lasting': 98, 'eternal': 270}","{'intimate': 51, 'moderate': 98, 'strong': 195, 'enormous': 366}","{'female': 34, 'more female': 26, 'unisex': 51, 'more male': 5, 'male': 3}","{'way overpriced': 13, 'overpriced': 27, 'ok': 23, 'good value': 25, 'great value': 7}"
Vanille Fatale,Tom Ford,for women and men,4.19,1196.0,"{'vanilla': 100.0, 'warm spicy': 83.0174, 'sweet': 74.5483, 'amber': 72.8899, 'woody': 70.377, 'powdery': 64.1044, 'aromatic': 61.4839, 'leather': 59.3951, 'balsamic': 58.1114, 'tobacco': 55.8643}","['Myrrh', 'Rum', 'Olibanum', 'Coriander', 'Saffron', 'Orange', 'Lime']","['Barley', 'Coffee', 'Frangipani', 'Plum', 'Narcissus', 'Rose', 'Artemisia']","['Madagascar Vanilla', 'Suede', 'Mahogany', 'Tobacco', 'Patchouli', 'Oakmoss', 'Violet']","{'very weak': 37, 'weak': 31, 'moderate': 74, 'long lasting': 156, 'eternal': 94}","{'intimate': 92, 'moderate': 257, 'strong': 175, 'enormous': 167}","{'female': 11, 'more female': 29, 'unisex': 53, 'more male': 8, 'male': 0}","{'way overpriced': 14, 'overpriced': 40, 'ok': 21, 'good value': 5, 'great value': 1}"
Insolence Eau de Parfum,Guerlain,for women,4.17,466.0,"{'powdery': 100.0, 'violet': 79.4594, 'iris': 57.4579}",[],"['Violet', 'Powdery Notes', 'iris', 'Red Berries']",[],"{'very weak': 8, 'weak': 18, 'moderate': 45, 'long lasting': 96, 'eternal': 64}","{'intimate': 29, 'moderate': 86, 'strong': 129, 'enormous': 80}","{'female': 93, 'more female': 11, 'unisex': 3, 'more male': 1, 'male': 0}","{'way overpriced': 4, 'overpriced': 13, 'ok': 43, 'good value': 28, 'great value': 9}"
La Vie est Belle L'Éclat,Lancome,for women,3.88,1627.0,"{'white floral': 100.0, 'citrus': 69.7324, 'vanilla': 60.169, 'powdery': 57.2047, 'woody': 55.3906, 'sweet': 46.938, 'floral': 45.331, 'iris': 44.723}","['Bergamot', 'Mandarin Orange', 'Freesia']","['Orange Blossom', 'White Flowers', 'iris', 'Jasmine Sambac']","['Vanilla', 'Sandalwood', 'Patchouli']","{'very weak': 31, 'weak': 34, 'moderate': 130, 'long lasting': 248, 'eternal': 113}","{'intimate': 91, 'moderate': 284, 'strong': 280, 'enormous': 222}","{'female': 100, 'more female': 4, 'unisex': 0, 'more male': 0, 'male': 0}","{'way overpriced': 5, 'overpriced': 18, 'ok': 54, 'good value': 15, 'great value': 4}"
Bad Boy,Carolina Herrera,for men,3.27,742.0,"{'amber': 100.0, 'warm spicy': 98.8312, 'woody': 83.7403, 'cacao': 81.6883, 'aromatic': 80.8052, 'fresh spicy': 78.4416, 'vanilla': 73.4546, 'sweet': 65.1688, 'citrus': 58.3117, 'herbal': 47.4156}","['White Pepper', 'Black Pepper', 'Bergamot']","['Sage', 'Cedar']","['Tonka Bean', 'Cacao', 'Amberwood']","{'very weak': 46, 'weak': 52, 'moderate': 157, 'long lasting': 101, 'eternal': 45}","{'intimate': 100, 'moderate': 219, 'strong': 125, 'enormous': 143}","{'female': 5, 'more female': 2, 'unisex': 24, 'more male': 42, 'male': 71}","{'way overpriced': 20, 'overpriced': 42, 'ok': 49, 'good value': 16, 'great value': 3}"
L'Heure Bleue Eau de Parfum,Guerlain,for women,4.3,4502.0,"{'powdery': 100.0, 'floral': 81.2238, 'vanilla': 78.4673, 'warm spicy': 74.7813, 'woody': 62.502, 'violet': 62.4452, 'aromatic': 60.4178, 'iris': 57.4692, 'soft spicy': 53.3882, 'sweet': 52.6866}","['Anise', 'Neroli', 'Coriander', 'Bergamot', 'Lemon']","['Heliotrope', 'Carnation', 'Violet', 'Cloves', 'Neroli', 'Ylang-Ylang', 'Bulgarian Rose', 'Jasmine', 'Orchid', 'Tuberose']","['iris', 'Vanilla', 'Benzoin', 'Sandalwood', 'Tonka Bean', 'Musk', 'Vetiver']","{'very weak': 58, 'weak': 51, 'moderate': 190, 'long lasting': 439, 'eternal': 244}","{'intimate': 128, 'moderate': 457, 'strong': 501, 'enormous': 277}","{'female': 43, 'more female': 27, 'unisex': 19, 'more male': 0, 'male': 3}","{'way overpriced': 1, 'overpriced': 7, 'ok': 28, 'good value': 41, 'great value': 7}"
Zahrat Hawai,Al-Rehab,for women and men,3.81,212.0,"{'fruity': 100.0, 'sweet': 96.7939, 'coconut': 69.6814, 'tropical': 52.1872, 'citrus': 51.8387, 'fresh': 51.3043}",[],"['Pineapple', 'Piña Colada', 'Citruses', 'Big Strawberry', 'Coconut', 'Exotic floral notes', 'Caramel', 'Woody Notes']",[],"{'very weak': 7, 'weak': 11, 'moderate': 42, 'long lasting': 28, 'eternal': 12}","{'intimate': 15, 'moderate': 63, 'strong': 28, 'enormous': 24}","{'female': 8, 'more female': 1, 'unisex': 4, 'more male': 0, 'male': 1}","{'way overpriced': 1, 'overpriced': 1, 'ok': 0, 'good value': 4, 'great value': 6}"
Glow,Jennifer Lopez,for women,3.62,4066.0,"{'white floral': 100.0, 'citrus': 69.5168, 'musky': 61.468, 'powdery': 60.242, 'rose': 53.439, 'floral': 48.2111, 'animalic': 45.0535}","['Neroli', 'Orange Blossom', 'Grapefruit']","['Jasmine', 'Rose', 'Tuberose']","['Musk', 'Sandalwood', 'Orris Root', 'Vanilla', 'Amber']","{'very weak': 54, 'weak': 81, 'moderate': 279, 'long lasting': 330, 'eternal': 131}","{'intimate': 130, 'moderate': 502, 'strong': 237, 'enormous': 139}","{'female': 64, 'more female': 9, 'unisex': 2, 'more male': 0, 'male': 0}","{'way overpriced': 1, 'overpriced': 3, 'ok': 11, 'good value': 20, 'great value': 34}"
Whispers in the Library,Maison Martin Margiela,for women and men,4.2,764.0,"{'woody': 100.0, 'vanilla': 80.9415, 'fresh spicy': 61.1705, 'powdery': 50.2341}",[],"['Vanilla', 'Woody Notes', 'Pepper', 'Cedar']",[],"{'very weak': 23, 'weak': 44, 'moderate': 153, 'long lasting': 53, 'eternal': 19}","{'intimate': 108, 'moderate': 166, 'strong': 70, 'enormous': 72}","{'female': 6, 'more female': 20, 'unisex': 97, 'more male': 11, 'male': 2}","{'way overpriced': 4, 'overpriced': 40, 'ok': 56, 'good value': 3, 'great value': 0}"
Coco Mademoiselle,Chanel,for women,4.15,21114.0,"{'citrus': 100.0, 'woody': 63.1113, 'patchouli': 62.3942, 'sweet': 62.1819, 'white floral': 58.7302, 'rose': 53.6634, 'earthy': 49.1042, 'vanilla': 48.9538, 'yellow floral': 48.2293, 'warm spicy': 48.1444}","['Orange', 'Mandarin Orange', 'Bergamot', 'Orange Blossom']","['Turkish Rose', 'Jasmine', 'Mimosa', 'Ylang-Ylang']","['Patchouli', 'White Musk', 'Vanilla', 'Vetiver', 'Tonka Bean', 'Opoponax']","{'very weak': 196, 'weak': 266, 'moderate': 948, 'long lasting': 2028, 'eternal': 2271}","{'intimate': 435, 'moderate': 1645, 'strong': 2505, 'enormous': 1589}","{'female': 479, 'more female': 77, 'unisex': 31, 'more male': 2, 'male': 3}","{'way overpriced': 74, 'overpriced': 196, 'ok': 215, 'good value': 46, 'great value': 13}"
Boss Soul,Hugo Boss,for men,3.91,717.0,"{'warm spicy': 100.0, 'aromatic': 89.2407, 'fresh spicy': 89.1893, 'vanilla': 65.8987, 'citrus': 58.2465, 'amber': 57.2194, 'cinnamon': 56.9626, 'soft spicy': 54.9211, 'sweet': 51.6985, 'powdery': 49.2975}","['Cardamom', 'Pepper', 'Anise', 'Mandarin Orange', 'Bergamot']","['Cinnamon', 'Nutmeg', 'Lavender', 'Coriander']","['Vanilla', 'Tonka Bean', 'Amber', 'Vetiver', 'Musk']","{'very weak': 18, 'weak': 35, 'moderate': 116, 'long lasting': 43, 'eternal': 15}","{'intimate': 61, 'moderate': 139, 'strong': 43, 'enormous': 26}","{'female': 0, 'more female': 0, 'unisex': 1, 'more male': 4, 'male': 8}","{'way overpriced': 2, 'overpriced': 0, 'ok': 5, 'good value': 2, 'great value': 4}"
Light Blue pour Homme,Dolce&Gabbana,for men,3.9,3457.0,"{'citrus': 100.0, 'fresh spicy': 95.7757, 'aromatic': 74.1402, 'woody': 60.9439, 'warm spicy': 44.6869}","['Grapefruit', 'Bergamot', 'Sicilian Mandarin', 'Juniper']","['Pepper', 'Rosemary', 'Brazilian Rosewood']","['Incense', 'Musk', 'Oakmoss']","{'very weak': 95, 'weak': 147, 'moderate': 670, 'long lasting': 232, 'eternal': 46}","{'intimate': 309, 'moderate': 764, 'strong': 184, 'enormous': 124}","{'female': 0, 'more female': 1, 'unisex': 16, 'more male': 38, 'male': 73}","{'way overpriced': 4, 'overpriced': 19, 'ok': 58, 'good value': 26, 'great value': 8}"
Libre,Yves Saint Laurent,for women,3.77,3595.0,"{'white floral': 100.0, 'citrus': 84.5584, 'lavender': 73.6233, 'vanilla': 67.3469, 'aromatic': 58.8756, 'sweet': 56.133, 'animalic': 54.1449, 'woody': 52.8506, 'fruity': 52.5017, 'powdery': 52.0495}","['Lavender', 'Mandarin Orange', 'Black Currant', 'Petitgrain']","['Lavender', 'Orange Blossom', 'Jasmine']","['Madagascar Vanilla', 'Ambergris', 'Musk', 'Cedar']","{'very weak': 118, 'weak': 118, 'moderate': 386, 'long lasting': 569, 'eternal': 249}","{'intimate': 228, 'moderate': 668, 'strong': 641, 'enormous': 616}","{'female': 311, 'more female': 151, 'unisex': 107, 'more male': 12, 'male': 5}","{'way overpriced': 25, 'overpriced': 112, 'ok': 263, 'good value': 55, 'great value': 14}"
